K1d12_009_0 JCAAaaCaAaaaAaAaaAAbCA--BbaaaaAAabEcAaC--aA-AAaAAa-aA-----aABAaaa-c---AcaAfAAAAAAabaAaaAaaacAa---AbAaaaAc--DaaaAaBfBaaAa--AdAaAacAAbCdACaaaA--AAaAAAaaaaB--AbaAaAAaaab-BaabAAAaa-AAAbA--A-A---A-A-dEa-AAaAAAaAdA-AabAbAAb-aAGdabAcA-aA
K1d12_009_1 -CdCAhB-AcBaaaaBeEaaAAgEaECCcaaaBaaAaAaaaaFaaacDAc-DAc-AAAcA--AAABcaaCabBc-AAaAaBbaaAa-AbAaaA-a--AbAaaaAacbAAbAAaaCaAfAcAaaAzbzAaCAAaabxbAaaaCaaAyaAaatAcCaAaacyAAAaaAa-ABAbAAb-ECaaac-aBAa-AAAAAAAAdA-AaaaaB
K1d12_010_0 CAaAAaaaDaAaAa-a---abAAAAaaaa-aAAAA-BDbdbCbAAaAaaa--EA-cAeaA--DaabaaAaa----AaaaCaBdEAc----AaaaCCa-cC-aaaaaaaaabCaaaaGaccJha-FaaBaaaBaAAAAAa-cCcaAAf-dCAxBcCaA-cCbAaaaAcxAAAbBA--aAAAz-aFccAaBcAaAcavaAbaE-bBaCc-Aa-aAjy
K1d12_010_1 -aA---aaa--A-A-BaCcadAAAbAaaAAAabAbABaaAACdBaaaHAcaAA-aBaaaA-aaaabaBaaaBaaabaBb-aBaaaaaaDadAaAAAaaaaaaaGAAabAAAa--aAaaaAbAaBadAabBabAAAaCb-aAi-bC-AAb-aaaCaCb-azAAAaacwuCbBAaa-xAAC-czcAaB-aaaBaAaaaAabAaAbAAAbAa-Aa-CaaaA--
K1d12_011_0 BCaaAaaACAcAabGacaaaAAaCcA-aAdCgAaaB--CbAeADeCbaaAaAaxaacAcAa-aCAcazAAaCAaaaAaCcCbaAADabaAbaaaataAAcAaAazabAbxxAAa-aa-aw-aGzAAbCaAAAaCcAaCaBAAbAAA--aAxdBDcAa-aAw-awAaaFaaeAaxeBAcxaBcDdBaaaB-bbAaxAAcxabAAb-aAaAx-acaEzC-bAc-aAAAaA-CaCbaaAABabAcxaaaaaCaCAazAcCcAaAbAAAz
K1d12_011_1 AazAaaaaAbabaEAAB-aaa-aazBbBAAaaAaaAAeDAazAaaaAay-aAAaaaAaAaaa----azaaa-aAAb--A-BA-AaaaAbAaaaCaA--BbCbaaa--AAAAbaaaAGAbaaBaABAa-AeCAaAbaDfAbvaA---c-B-aaA-bBB-eE--GgaDB--CcABaaabBA-aC----AcAaAa-aAB-AaAcAaBBAbBaBacAaAB--aAaAcFAaaAaaBaabAA-aAAAaaaCgCA
K1d12_012_0 aaaz---bAyzy-aEaaCCcDaBaa--baaaABaaAAGAaDcAAaAbaaaAEaA-CC-aCAcAa-aA---B-BB-cB---a---zAaAAB---EcBa-a-ABabaAAaAaagF-AcAa-AA-bBbC---aba-Aa-aaaAayDAgAAdEa-Cc-AaBAa---a-AAaAeAAAAAcCAaA-dFgEaAaAAAAaAcBAAa-aaaaaaaCaaa-aexaaaaBaaaaFabKaaaa
K1d12_012_1 aaaGfAAaaaEaCdaAAaaaEkBAAaaaEaaaG---a-CaCfaaaAAAcaAaABcAbAAaaACcAAAaAaaaCa-BAAae-CcaDeAaAaazbAaAbzBAdAAc-wAB-dxB-dxABaaaBA--aA----zaaaAzAabAAAA-aAAAAc-A-A---a-A--Aa-aA-AcAaaBab-aAAaAB-Bd--B-B-BcBB-aa-a-aA-aBaaaAbbF--f
K1d12_013_0 AAaaAbzCcaGaaaDi-EB-aCaeEDbBaaCaA-baaBa-aa-Cb-aeaaaBzaaByaA-xaawa-a-AbDCaa--aaaaaA-baFcAAcAEabaaacaACdaLdbAAbaGAc-BAAAbBAcAa--aaBaa-FfCcbAAbcazd-Bba-bAcAaCe-aAdaaAbaA-AB-b-kBAbA-AyBaBxaBAbCayaAyAav-Bb-zbx-zba-aauAab-aaaDAAAa-DdAAaaaax
K1d12_013_1 -BdbAAbAAAAAbaBBg-AaaaaaD-azBAAaz-aaAaaazAbAaDcD-AAbADa-acAaAcaaaaxaaaAABaaFcaAdbA-BcbbBaaaaGbBBaBcAaAd-Aa-bBaaaACb-aAa-AABcAAaBdAbaaaF-BBCd-aA-BaaDAabBa-bCaACCfaAfEeCabAACcAaAczAczA-bAAdCcAaaABbaaaBAAa-aAAacAE-bAaAcCaaAAabBAA-eaCaA-aaAaBaaaAaaaaaDABcBBcaCcAa
